,geoname,statepostal,fips,seriesid,purpose,year,quarter,value
93,Denton County,TX,48121,COUNT,Purchase,2022,1,4469.0
94,Denton County,TX,48121,COUNT,Refinance,2022,1,3643.0
95,Denton County,TX,48121,COUNT,Both,2022,1,8112.0
96,Denton County,TX,48121,COUNT,Purchase,2022,2,5214.0
97,Denton County,TX,48121,COUNT,Refinance,2022,2,1859.0
98,Denton County,TX,48121,COUNT,Both,2022,2,7073.0
99,Denton County,TX,48121,COUNT,Purchase,2022,3,4264.0
100,Denton County,TX,48121,COUNT,Refinance,2022,3,1161.0
101,Denton County,TX,48121,COUNT,Both,2022,3,5425.0
102,Denton County,TX,48121,COUNT,Purchase,2022,4,3242.0
103,Denton County,TX,48121,COUNT,Refinance,2022,4,504.0
104,Denton County,TX,48121,COUNT,Both,2022,4,3746.0
289,Denton County,TX,48121,MEDIAN,Purchase,2022,1,460000.0
290,Denton County,TX,48121,MEDIAN,Refinance,2022,1,455000.0
291,Denton County,TX,48121,MEDIAN,Both,2022,1,459000.0
292,Denton County,TX,48121,MEDIAN,Purchase,2022,2,505500.0
293,Denton County,TX,48121,MEDIAN,Refinance,2022,2,465000.0
294,Denton County,TX,48121,MEDIAN,Both,2022,2,500000.0
295,Denton County,TX,48121,MEDIAN,Purchase,2022,3,515000.0
296,Denton County,TX,48121,MEDIAN,Refinance,2022,3,490000.0
297,Denton County,TX,48121,MEDIAN,Both,2022,3,507000.0
298,Denton County,TX,48121,MEDIAN,Purchase,2022,4,530000.0
299,Denton County,TX,48121,MEDIAN,Refinance,2022,4,458000.0
300,Denton County,TX,48121,MEDIAN,Both,2022,4,523000.0
411,Denton County,TX,48121,P25,Purchase,2022,1,375000.0
412,Denton County,TX,48121,P25,Refinance,2022,1,360000.0
413,Denton County,TX,48121,P25,Both,2022,1,370000.0
414,Denton County,TX,48121,P25,Purchase,2022,2,408000.0
415,Denton County,TX,48121,P25,Refinance,2022,2,380000.0
416,Denton County,TX,48121,P25,Both,2022,2,400000.0
417,Denton County,TX,48121,P25,Purchase,2022,3,409500.0
418,Denton County,TX,48121,P25,Refinance,2022,3,400000.0
419,Denton County,TX,48121,P25,Both,2022,3,405000.0
420,Denton County,TX,48121,P25,Purchase,2022,4,405000.0
421,Denton County,TX,48121,P25,Refinance,2022,4,370000.0
422,Denton County,TX,48121,P25,Both,2022,4,400000.0
508,Denton County,TX,48121,P75,Refinance,2022,3,660000.0
509,Denton County,TX,48121,P75,Both,2022,3,673000.0
510,Denton County,TX,48121,P75,Purchase,2022,4,688000.0
511,Denton County,TX,48121,P75,Refinance,2022,4,665500.0
512,Denton County,TX,48121,P75,Both,2022,4,685000.0
582,Denton County,TX,48121,P75,Purchase,2022,1,627000.0
583,Denton County,TX,48121,P75,Refinance,2022,1,627000.0
584,Denton County,TX,48121,P75,Both,2022,1,627000.0
585,Denton County,TX,48121,P75,Purchase,2022,2,670000.0
586,Denton County,TX,48121,P75,Refinance,2022,2,651500.0
587,Denton County,TX,48121,P75,Both,2022,2,665000.0
588,Denton County,TX,48121,P75,Purchase,2022,3,675000.0
647,Denton County,TX,48121,MEAN,Refinance,2022,1,537800.0
648,Denton County,TX,48121,MEAN,Both,2022,1,539400.0
649,Denton County,TX,48121,MEAN,Purchase,2022,2,580000.0
650,Denton County,TX,48121,MEAN,Refinance,2022,2,574300.0
651,Denton County,TX,48121,MEAN,Both,2022,2,578500.0
652,Denton County,TX,48121,MEAN,Purchase,2022,3,596500.0
653,Denton County,TX,48121,MEAN,Refinance,2022,3,582200.0
654,Denton County,TX,48121,MEAN,Both,2022,3,593400.0
655,Denton County,TX,48121,MEAN,Purchase,2022,4,596500.0
656,Denton County,TX,48121,MEAN,Refinance,2022,4,590200.0
657,Denton County,TX,48121,MEAN,Both,2022,4,595700.0
750,Denton County,TX,48121,MEAN,Purchase,2022,1,540600.0
796,Denton County,TX,48121,RATIO,Purchase,2022,1,0.987
797,Denton County,TX,48121,RATIO,Purchase,2022,2,0.97
798,Denton County,TX,48121,RATIO,Purchase,2022,3,0.956
799,Denton County,TX,48121,RATIO,Purchase,2022,4,0.966
842,Denton County,TX,48121,PERBEL,Purchase,2022,1,0.256
843,Denton County,TX,48121,PERBEL,Purchase,2022,2,0.156
844,Denton County,TX,48121,PERBEL,Purchase,2022,3,0.041
845,Denton County,TX,48121,PERBEL,Purchase,2022,4,0.033
896,Denton County,TX,48121,PEREQ,Purchase,2022,1,0.125
897,Denton County,TX,48121,PEREQ,Purchase,2022,2,0.139
898,Denton County,TX,48121,PEREQ,Purchase,2022,3,0.106
899,Denton County,TX,48121,PEREQ,Purchase,2022,4,0.097
905,Denton County,TX,48121,PERABV,Purchase,2022,1,0.619
906,Denton County,TX,48121,PERABV,Purchase,2022,2,0.705
907,Denton County,TX,48121,PERABV,Purchase,2022,3,0.853
908,Denton County,TX,48121,PERABV,Purchase,2022,4,0.87
